"Index","KrakenXrpUsd.Open","KrakenXrpUsd.High","KrakenXrpUsd.Low","KrakenXrpUsd.Close","KrakenXrpUsd.Volume","KrakenXrpUsd.Adjusted"
2017-09-19T12:00:00.000Z,0.18816,0.18981,0.18602,0.18951,852312.42499660,0.18951
2017-09-19T16:00:00.000Z,0.18933,0.19300,0.18651,0.18660,1311408.86265951,0.18660
2017-09-19T20:00:00.000Z,0.18737,0.18795,0.18404,0.18491,2077382.88490238,0.18491
2017-09-20T00:00:00.000Z,0.18497,0.18636,0.18230,0.18230,1038525.85043630,0.18230
2017-09-20T04:00:00.000Z,0.18278,0.18710,0.18042,0.18600,714122.56453315,0.18600
2017-09-20T08:00:00.000Z,0.18600,0.18778,0.18405,0.18432,406608.02489977,0.18432
2017-09-20T12:00:00.000Z,0.18442,0.18875,0.18302,0.18778,969141.56778899,0.18778
2017-09-20T16:00:00.000Z,0.18759,0.18850,0.18342,0.18364,969682.78982850,0.18364
2017-09-20T20:00:00.000Z,0.18354,0.18582,0.18102,0.18141,1609750.33876029,0.18141
2017-09-21T00:00:00.000Z,0.18102,0.18221,0.17980,0.18000,905179.64335725,0.18000
2017-09-21T04:00:00.000Z,0.18040,0.18259,0.17950,0.18218,414764.37238265,0.18218
2017-09-21T08:00:00.000Z,0.18223,0.18293,0.17804,0.18235,597657.83097588,0.18235
2017-09-21T12:00:00.000Z,0.18255,0.18390,0.17700,0.17827,1112330.58571209,0.17827
2017-09-21T16:00:00.000Z,0.17805,0.17969,0.17102,0.17323,1405173.60200830,0.17323
2017-09-21T20:00:00.000Z,0.17321,0.17791,0.17000,0.17111,2112017.85013936,0.17111
2017-09-22T00:00:00.000Z,0.17108,0.17395,0.17047,0.17345,731354.09394179,0.17345
2017-09-22T04:00:00.000Z,0.17345,0.17771,0.17248,0.17523,790367.90277237,0.17523
2017-09-22T08:00:00.000Z,0.17457,0.17457,0.16904,0.16904,878950.25986911,0.16904
2017-09-22T12:00:00.000Z,0.17020,0.17225,0.16743,0.16800,882454.59881869,0.16800
2017-09-22T16:00:00.000Z,0.16900,0.17192,0.16731,0.17150,673990.81656334,0.17150
2017-09-22T20:00:00.000Z,0.17113,0.17372,0.17075,0.17268,865406.77338475,0.17268
2017-09-23T00:00:00.000Z,0.17300,0.17364,0.17020,0.17157,357205.61478964,0.17157
2017-09-23T04:00:00.000Z,0.17171,0.17899,0.17171,0.17460,1745705.16938679,0.17460
2017-09-23T08:00:00.000Z,0.17457,0.18140,0.17416,0.18119,834719.43990376,0.18119
2017-09-23T12:00:00.000Z,0.18121,0.18200,0.17731,0.17774,1010875.77948813,0.17774
2017-09-23T16:00:00.000Z,0.17774,0.17926,0.17606,0.17911,519808.67011755,0.17911
2017-09-23T20:00:00.000Z,0.17908,0.18000,0.17720,0.17816,497320.01513193,0.17816
2017-09-24T00:00:00.000Z,0.17907,0.18050,0.17700,0.17862,389267.11881863,0.17862
2017-09-24T04:00:00.000Z,0.17928,0.17928,0.17450,0.17476,291222.68665765,0.17476
2017-09-24T08:00:00.000Z,0.17478,0.17598,0.17422,0.17549,219476.11607549,0.17549
2017-09-24T12:00:00.000Z,0.17454,0.17682,0.17437,0.17595,103904.25901415,0.17595
2017-09-24T16:00:00.000Z,0.17619,0.17775,0.17510,0.17764,392729.07018557,0.17764
2017-09-24T20:00:00.000Z,0.17700,0.17744,0.17552,0.17641,519604.52076727,0.17641
2017-09-25T00:00:00.000Z,0.17638,0.17997,0.17498,0.17886,1038563.38810046,0.17886
2017-09-25T04:00:00.000Z,0.17888,0.18084,0.17826,0.17930,556279.87469352,0.17930
2017-09-25T08:00:00.000Z,0.17930,0.17949,0.17770,0.17900,420606.14867259,0.17900
2017-09-25T12:00:00.000Z,0.17900,0.18659,0.17812,0.18530,663876.39620509,0.18530
2017-09-25T16:00:00.000Z,0.18547,0.18703,0.18256,0.18476,760929.24166077,0.18476
