"Index","KrakenXmrUsd.Open","KrakenXmrUsd.High","KrakenXmrUsd.Low","KrakenXmrUsd.Close","KrakenXmrUsd.Volume","KrakenXmrUsd.Adjusted"
2017-09-04T00:00:00.000Z,128.99,130.00,122.10,122.21,596.33217443,122.21
2017-09-04T04:00:00.000Z,122.21,124.97,115.11,115.11,1559.89906433,115.11
2017-09-04T08:00:00.000Z,118.00,126.64,109.00,111.00,4047.46090326,111.00
2017-09-04T12:00:00.000Z,111.00,111.00,103.22,107.49,2625.80058983,107.49
2017-09-04T16:00:00.000Z,107.49,115.00,101.10,114.33,4082.84470810,114.33
2017-09-04T20:00:00.000Z,114.33,124.39,108.05,110.50,2217.98539811,110.50
2017-09-05T00:00:00.000Z,110.50,111.49,100.10,103.28,2655.55945611,103.28
2017-09-05T04:00:00.000Z,103.62,113.39,101.00,111.87,1480.03169881,111.87
2017-09-05T08:00:00.000Z,111.52,114.83,108.40,111.80,878.22149004,111.80
2017-09-05T12:00:00.000Z,111.79,125.00,111.00,120.39,1714.46305760,120.39
2017-09-05T16:00:00.000Z,118.00,129.42,115.02,127.00,3086.05447327,127.00
2017-09-05T20:00:00.000Z,127.00,127.99,121.17,121.84,3983.77049852,121.84
2017-09-06T00:00:00.000Z,124.54,130.00,122.11,123.52,2799.92772081,123.52
2017-09-06T04:00:00.000Z,123.52,125.29,120.10,123.01,1605.45673970,123.01
2017-09-06T08:00:00.000Z,123.04,127.00,120.50,123.50,556.24818463,123.50
2017-09-06T12:00:00.000Z,123.50,125.15,120.10,123.00,2147.20122915,123.00
2017-09-06T16:00:00.000Z,122.59,128.99,121.57,125.77,1633.94893040,125.77
2017-09-06T20:00:00.000Z,125.77,127.79,123.00,125.00,851.15669778,125.00
2017-09-07T00:00:00.000Z,124.60,124.60,119.23,120.55,1542.84377892,120.55
2017-09-07T04:00:00.000Z,120.68,122.00,116.10,120.51,2157.45454155,120.51
2017-09-07T08:00:00.000Z,120.53,121.93,117.51,120.95,1447.35655008,120.95
2017-09-07T12:00:00.000Z,120.95,124.38,120.48,122.00,805.86090369,122.00
2017-09-07T16:00:00.000Z,122.00,123.01,120.90,122.76,684.00486684,122.76
2017-09-07T20:00:00.000Z,122.76,126.95,120.00,123.73,1543.54194245,123.73
2017-09-08T00:00:00.000Z,123.62,124.88,120.99,123.39,379.72560737,123.39
2017-09-08T04:00:00.000Z,124.37,124.90,122.16,124.90,594.71402006,124.90
2017-09-08T08:00:00.000Z,124.90,135.00,124.80,130.05,5353.52060405,130.05
2017-09-08T12:00:00.000Z,130.07,132.77,118.00,122.98,3431.99809809,122.98
2017-09-08T16:00:00.000Z,122.24,126.90,115.50,118.39,1821.45429922,118.39
2017-09-08T20:00:00.000Z,116.06,123.87,110.00,120.00,1895.64459106,120.00
2017-09-09T00:00:00.000Z,120.00,121.34,115.62,116.67,417.76431503,116.67
2017-09-09T04:00:00.000Z,116.67,121.93,116.67,119.90,287.54358409,119.90
2017-09-09T08:00:00.000Z,119.90,123.00,117.60,119.02,254.91332048,119.02
2017-09-09T12:00:00.000Z,119.02,119.25,115.00,115.32,446.27828206,115.32
2017-09-09T16:00:00.000Z,115.32,119.57,114.00,119.57,837.57874146,119.57
2017-09-09T20:00:00.000Z,119.57,119.57,115.41,117.60,388.50520733,117.60
2017-09-10T00:00:00.000Z,117.60,117.60,113.76,113.76,1073.21247639,113.76
