Index,BTCE.Open,BTCE.High,BTCE.Low,BTCE.Close,BTCE.Volume,BTCE.Adjusted
2016-07-15T21:00:00.000+03:00,664.051,667.0,662.291,666.31,53.73953,666.31
2016-07-15T22:00:00.000+03:00,666.04,666.98,664.53,665.0,28.221742,665.0
2016-07-15T23:00:00.000+03:00,665.0,667.846,663.671,667.846,75.458034,667.846
2016-07-16T00:00:00.000+03:00,667.846,667.846,660.0,660.0,129.692941,660.0
2016-07-16T01:00:00.000+03:00,663.68,667.858,663.68,666.43,71.456147,666.43
2016-07-16T02:00:00.000+03:00,664.5,667.85,663.841,665.15,71.91662,665.15
2016-07-16T03:00:00.000+03:00,665.15,667.848,665.12,667.71,14.867228,667.71
2016-07-16T04:00:00.000+03:00,668.0,668.95,666.04,666.05,26.373718,666.05
2016-07-16T05:00:00.000+03:00,666.51,667.749,665.26,665.26,26.36547,665.26
2016-07-16T06:00:00.000+03:00,666.2,668.95,665.01,667.5,35.83738,667.5
2016-07-16T07:00:00.000+03:00,665.54,669.1,665.53,665.77,14.856647,665.77
2016-07-16T08:00:00.000+03:00,668.36,668.36,665.5,665.5,11.9669,665.5
2016-07-16T09:00:00.000+03:00,665.5,666.999,665.001,665.5,9.204534,665.5
2016-07-16T10:00:00.000+03:00,665.001,669.102,664.996,667.6,19.86512,667.6
2016-07-16T11:00:00.000+03:00,664.58,667.809,664.58,665.13,0.375,665.13
2016-07-16T12:00:00.000+03:00,665.14,666.73,665.14,666.69,4.013797,666.69
2016-07-16T13:00:00.000+03:00,665.2,667.48,665.0,667.35,4.5696,667.35
2016-07-16T14:00:00.000+03:00,665.218,665.218,663.725,663.725,7.212359,663.725
2016-07-16T15:00:00.000+03:00,666.99,667.24,661.0,661.02,63.5571,661.02
2016-07-16T16:00:00.000+03:00,662.432,662.93,662.17,662.19,9.768188,662.19
2016-07-16T17:00:00.000+03:00,662.19,663.319,661.02,662.19,35.077499,662.19
2016-07-16T18:00:00.000+03:00,661.14,664.454,661.14,664.454,4.845,664.454
2016-07-16T19:00:00.000+03:00,661.51,663.99,661.51,663.99,6.153044,663.99
2016-07-16T20:00:00.000+03:00,663.99,663.99,663.61,663.857,6.641033,663.857
2016-07-16T21:00:00.000+03:00,662.78,663.859,662.78,663.05,4.892326,663.05
2016-07-16T22:00:00.000+03:00,663.85,666.439,662.801,663.05,41.801412,663.05
2016-07-16T23:00:00.000+03:00,664.67,666.446,662.78,663.99,19.542203,663.99
2016-07-17T00:00:00.000+03:00,663.99,666.446,663.99,665.91,3.303353,665.91
2016-07-17T01:00:00.000+03:00,665.0,665.077,661.0,663.691,42.64984,663.691
2016-07-17T02:00:00.000+03:00,663.99,665.0,661.475,665.0,22.105852,665.0
2016-07-17T03:00:00.000+03:00,665.0,666.495,662.82,666.495,8.895647,666.495
2016-07-17T04:00:00.000+03:00,665.0,666.49,661.52,665.14,17.448797,665.14
2016-07-17T05:00:00.000+03:00,665.082,666.98,661.701,666.98,17.605597,666.98
2016-07-17T06:00:00.000+03:00,666.98,667.0,666.34,666.44,8.419683,666.44
2016-07-17T07:00:00.000+03:00,666.5,667.0,664.082,666.76,25.877013,666.76
2016-07-17T08:00:00.000+03:00,664.974,667.66,664.85,667.66,18.828157,667.66
2016-07-17T09:00:00.000+03:00,667.66,670.0,665.464,670.0,70.315152,670.0
2016-07-17T10:00:00.000+03:00,668.393,669.999,666.823,667.31,16.3374,667.31
2016-07-17T11:00:00.000+03:00,668.99,670.0,667.32,667.32,3.600246,667.32
2016-07-17T12:00:00.000+03:00,668.11,669.28,665.516,668.01,16.464333,668.01
2016-07-17T13:00:00.000+03:00,668.01,668.34,668.01,668.34,1.2784,668.34
2016-07-17T14:00:00.000+03:00,668.7,668.7,666.753,667.48,20.77378,667.48
2016-07-17T15:00:00.000+03:00,668.45,670.5,668.45,670.0,15.055763,670.0
2016-07-17T16:00:00.000+03:00,668.42,670.5,668.42,670.5,21.880217,670.5
2016-07-17T17:00:00.000+03:00,670.489,670.536,668.786,670.311,29.187102,670.311
2016-07-17T18:00:00.000+03:00,670.3,671.21,670.172,671.21,17.6694,671.21
2016-07-17T19:00:00.000+03:00,671.21,685.0,670.913,683.78,299.653068,683.78
2016-07-17T20:00:00.000+03:00,679.08,684.029,679.08,682.05,73.476633,682.05
2016-07-17T21:00:00.000+03:00,680.42,682.05,680.341,682.05,40.89472,682.05
2016-07-17T22:00:00.000+03:00,682.05,684.578,680.0,682.0,93.302088,682.0
2016-07-17T23:00:00.000+03:00,682.0,682.0,680.618,682.0,39.456266,682.0
2016-07-18T00:00:00.000+03:00,681.985,681.99,680.161,680.39,17.53169,680.39
2016-07-18T01:00:00.000+03:00,680.012,681.9,678.97,680.35,50.711355,680.35
2016-07-18T02:00:00.000+03:00,678.38,681.86,677.72,681.86,8.93286,681.86
2016-07-18T03:00:00.000+03:00,680.3,681.83,680.1,680.1,8.069992,680.1
2016-07-18T04:00:00.000+03:00,680.11,682.31,680.11,680.99,4.672599,680.99
2016-07-18T05:00:00.000+03:00,680.132,683.999,680.1,683.999,29.128956,683.999
2016-07-18T06:00:00.000+03:00,681.711,683.93,680.53,682.74,26.561053,682.74
2016-07-18T07:00:00.000+03:00,682.82,682.82,680.56,681.94,3.341014,681.94
2016-07-18T08:00:00.000+03:00,680.11,683.05,680.11,682.99,9.000464,682.99
2016-07-18T09:00:00.000+03:00,682.99,682.99,681.36,681.36,1.079561,681.36
2016-07-18T10:00:00.000+03:00,681.91,683.02,681.45,683.02,2.12487,683.02
2016-07-18T11:00:00.000+03:00,681.36,682.1,677.771,679.176,104.803999,679.176
2016-07-18T12:00:00.000+03:00,679.21,681.24,679.21,679.521,5.344703,679.521
2016-07-18T13:00:00.000+03:00,681.25,681.92,679.5,681.7,8.745412,681.7
2016-07-18T14:00:00.000+03:00,679.71,681.939,678.73,679.31,66.915203,679.31
2016-07-18T15:00:00.000+03:00,681.846,681.846,676.53,677.67,29.478025,677.67
2016-07-18T16:00:00.000+03:00,676.68,678.0,676.67,677.94,16.175187,677.94
2016-07-18T17:00:00.000+03:00,677.94,681.939,677.94,681.939,17.957422,681.939
2016-07-18T18:00:00.000+03:00,681.939,686.0,675.103,682.69,378.379172,682.69
2016-07-18T19:00:00.000+03:00,684.53,685.98,674.0,674.6,185.592036,674.6
2016-07-18T20:00:00.000+03:00,674.803,677.0,674.69,677.0,5.82583,677.0
2016-07-18T21:00:00.000+03:00,675.111,677.813,670.1,670.6,137.861673,670.6
2016-07-18T22:00:00.000+03:00,671.79,671.87,667.94,670.08,52.163447,670.08
2016-07-18T23:00:00.000+03:00,671.59,675.996,671.59,674.46,15.280362,674.46
2016-07-19T00:00:00.000+03:00,674.25,676.54,671.921,674.78,30.784759,674.78
2016-07-19T01:00:00.000+03:00,674.78,677.0,667.584,676.54,141.851006,676.54
2016-07-19T02:00:00.000+03:00,676.54,676.541,673.79,674.79,10.894342,674.79
2016-07-19T03:00:00.000+03:00,673.93,675.24,672.03,675.22,39.810925,675.22
2016-07-19T04:00:00.000+03:00,675.22,676.55,674.6,674.6,12.626612,674.6
2016-07-19T05:00:00.000+03:00,675.27,675.27,674.25,674.71,17.21945,674.71
2016-07-19T06:00:00.000+03:00,674.69,674.69,670.5,670.5,47.026939,670.5
2016-07-19T07:00:00.000+03:00,672.211,673.99,672.21,672.96,3.676947,672.96
2016-07-19T08:00:00.000+03:00,672.95,672.95,671.6,672.75,4.423903,672.75
2016-07-19T09:00:00.000+03:00,674.53,674.68,673.18,673.18,0.8449,673.18
2016-07-19T10:00:00.000+03:00,673.18,673.18,671.587,672.0,17.21438,672.0
2016-07-19T11:00:00.000+03:00,673.44,673.982,672.0,673.85,10.531673,673.85
2016-07-19T12:00:00.000+03:00,672.6,672.69,666.016,671.25,56.432577,671.25
2016-07-19T13:00:00.000+03:00,671.23,672.681,670.01,672.67,18.880091,672.67
2016-07-19T14:00:00.000+03:00,670.41,673.439,670.41,673.41,9.070644,673.41
2016-07-19T15:00:00.000+03:00,673.41,673.41,671.8,672.0,10.40315,672.0
2016-07-19T16:00:00.000+03:00,670.711,674.04,670.711,671.96,82.210814,671.96
2016-07-19T17:00:00.000+03:00,671.96,671.96,670.341,670.701,134.120048,670.701
2016-07-19T18:00:00.000+03:00,670.96,672.64,670.96,671.091,55.311463,671.091
2016-07-19T19:00:00.000+03:00,671.311,671.311,666.681,666.84,72.838507,666.84
2016-07-19T20:00:00.000+03:00,668.769,670.746,667.65,668.37,11.171272,668.37
2016-07-19T21:00:00.000+03:00,668.76,670.0,667.218,667.3,37.735087,667.3
2016-07-19T22:00:00.000+03:00,669.919,672.41,669.91,670.65,148.228351,670.65
2016-07-19T23:00:00.000+03:00,670.65,671.78,669.01,669.02,52.928421,669.02
2016-07-20T00:00:00.000+03:00,669.461,671.09,667.63,671.06,40.736211,671.06
2016-07-20T01:00:00.000+03:00,671.09,674.69,671.09,673.51,40.447451,673.51
2016-07-20T02:00:00.000+03:00,675.0,675.18,672.721,673.092,72.43969,673.092
2016-07-20T03:00:00.000+03:00,672.721,675.24,671.63,672.01,69.51877,672.01
2016-07-20T04:00:00.000+03:00,674.87,675.659,672.05,672.05,15.02899,672.05
2016-07-20T05:00:00.000+03:00,675.456,676.148,672.05,672.57,3.78929,672.57
2016-07-20T06:00:00.000+03:00,672.52,672.52,672.5,672.5,1.23789,672.5
2016-07-20T07:00:00.000+03:00,672.5,672.79,672.0,672.79,2.5912,672.79
2016-07-20T08:00:00.000+03:00,673.091,675.729,672.22,672.22,58.962688,672.22
2016-07-20T09:00:00.000+03:00,672.0,674.5,672.0,674.5,26.224145,674.5
2016-07-20T10:00:00.000+03:00,673.4,674.079,672.01,672.01,0.8409,672.01
2016-07-20T11:00:00.000+03:00,672.0,673.391,672.0,673.391,13.529329,673.391
2016-07-20T12:00:00.000+03:00,672.103,673.978,672.0,672.0,16.046921,672.0
2016-07-20T13:00:00.000+03:00,672.21,675.91,670.133,670.135,182.312826,670.135
2016-07-20T14:00:00.000+03:00,671.55,671.57,668.4,668.4,164.279582,668.4
2016-07-20T15:00:00.000+03:00,668.67,673.54,667.168,670.791,142.478082,670.791
2016-07-20T16:00:00.000+03:00,671.4,671.499,666.669,667.731,235.067239,667.731
2016-07-20T17:00:00.000+03:00,667.941,670.99,667.111,668.0,75.39894,668.0
2016-07-20T18:00:00.000+03:00,668.701,668.75,661.4,663.01,105.470046,663.01
2016-07-20T19:00:00.000+03:00,664.001,666.7,661.393,663.73,88.292393,663.73
2016-07-20T20:00:00.000+03:00,663.821,666.7,663.019,666.7,35.84983,666.7
2016-07-20T21:00:00.000+03:00,665.36,666.21,661.41,666.21,44.899011,666.21
2016-07-20T22:00:00.000+03:00,664.0,664.51,660.0,663.072,94.61442,663.072
2016-07-20T23:00:00.000+03:00,664.169,666.261,661.401,664.51,54.34114,664.51
2016-07-21T00:00:00.000+03:00,664.5,667.0,664.5,666.89,40.954378,666.89
2016-07-21T01:00:00.000+03:00,666.79,666.89,665.1,665.34,7.68057,665.34
2016-07-21T02:00:00.000+03:00,665.54,669.108,664.621,666.161,95.721207,666.161
2016-07-21T03:00:00.000+03:00,667.49,667.49,664.81,664.85,14.891565,664.85
2016-07-21T04:00:00.000+03:00,664.87,666.028,664.41,664.41,10.182689,664.41
2016-07-21T05:00:00.000+03:00,665.16,665.16,658.891,660.53,16.762567,660.53
2016-07-21T06:00:00.000+03:00,661.57,663.0,661.54,661.94,8.189398,661.94
2016-07-21T07:00:00.000+03:00,661.94,664.697,661.94,662.97,11.708978,662.97
2016-07-21T08:00:00.000+03:00,664.22,664.64,663.48,664.37,1.07938,664.37
2016-07-21T09:00:00.000+03:00,664.3,664.3,664.3,664.3,0.70424,664.3
2016-07-21T10:00:00.000+03:00,664.51,666.029,662.902,665.09,38.958299,665.09
2016-07-21T11:00:00.000+03:00,664.59,665.939,662.9,665.939,5.212055,665.939
2016-07-21T12:00:00.000+03:00,665.67,665.67,665.67,665.67,0.45,665.67
2016-07-21T13:00:00.000+03:00,665.14,666.286,664.2,665.52,9.785459,665.52
2016-07-21T14:00:00.000+03:00,664.21,666.16,664.2,664.4,7.134216,664.4
2016-07-21T15:00:00.000+03:00,664.21,667.6,664.21,667.6,7.080453,667.6
2016-07-21T16:00:00.000+03:00,667.5,667.5,664.517,664.517,14.25574,664.517
2016-07-21T17:00:00.000+03:00,665.06,667.711,665.0,666.07,29.748816,666.07
2016-07-21T18:00:00.000+03:00,667.38,669.108,665.62,666.22,103.49637,666.22
2016-07-21T19:00:00.000+03:00,665.6,669.459,665.6,669.459,38.163455,669.459
2016-07-21T20:00:00.000+03:00,666.97,669.0,665.89,668.89,34.793066,668.89
